id,title,category,source,tags,source_url
arxiv_2505.10300v2,AI LEGO: Scaffolding Cross-Functional Collaboration in Industrial Responsible AI Practices during Early Design Stages,cs.HC,ArXiv,,http://arxiv.org/abs/2505.10300v2
arxiv_2508.07617v2,Selective Prediction Reduces the Negative Effects of Automation Bias Overall but Increases False Negatives,cs.HC,ArXiv,,http://arxiv.org/abs/2508.07617v2
arxiv_2603.29888v2,Generative AI in Action: Field Experimental Evidence from Alibaba's Customer Service Operations,cs.HC,ArXiv,,http://arxiv.org/abs/2603.29888v2
arxiv_2605.00497v2,"""What Are You Really Trying to Do?"": Co-Creating Life Goals from Everyday Computer Use",cs.HC,ArXiv,,http://arxiv.org/abs/2605.00497v2
arxiv_2605.05682v3,PersonaTeaming: Supporting Persona-Driven Red-Teaming for Generative AI,cs.HC,ArXiv,,http://arxiv.org/abs/2605.05682v3
arxiv_2605.15848v2,Conversations in Space: Non-Linear LLM Interaction in Everyday Use,cs.HC,ArXiv,,http://arxiv.org/abs/2605.15848v2
arxiv_2605.29928v3,Label Over Logic? How Source Cues Bias Human Fallacy Judgments More Than LLMs,cs.HC,ArXiv,,http://arxiv.org/abs/2605.29928v3
arxiv_2606.09837v2,Self-EmoQ: Plutchik-Guided Value-based Planning to Drive Streaming Emotional TTS,cs.HC,ArXiv,,http://arxiv.org/abs/2606.09837v2
arxiv_2606.18129v1,Towards Understanding and Measuring COGNITIVE ATROPHY in LLM Behaviour,cs.HC,ArXiv,,http://arxiv.org/abs/2606.18129v1
arxiv_2606.19247v1,A Taxonomy of Mental Health and Technology Needs for Alzheimer's and Dementia Caregivers,cs.HC,ArXiv,,http://arxiv.org/abs/2606.19247v1
arxiv_2606.19286v1,"Correct Yourself, Keep My Trust: How Self-Correction and Social Connection Shape Credibility in Social Chatbots",cs.HC,ArXiv,,http://arxiv.org/abs/2606.19286v1
arxiv_2607.20382v1,FMRP-LEAN: A HIPAA-Compliant AI-Augmented LIMS Architecture for End-to-End Clinical Assay Workflow Optimization,cs.HC,ArXiv,,http://arxiv.org/abs/2607.20382v1
arxiv_2607.22428v1,Unboxing Diffusion Models for the Arts: Interactive Model Bending and Practice-Based Explainability,cs.HC,ArXiv,,http://arxiv.org/abs/2607.22428v1
arxiv_2607.22463v1,Beyond Perspectives: A Trio-Ethnography of Interpretation Evolution in LLM-Supported Programming Education,cs.HC,ArXiv,,http://arxiv.org/abs/2607.22463v1
arxiv_2607.25911v1,AnnoBench: A Benchmark for Visualization Annotation Generation,cs.HC,ArXiv,,http://arxiv.org/abs/2607.25911v1
arxiv_2607.27179v1,The Social Cost of an AI Teammate: How an Artificial Teammate Reshapes Human-Human Communication in Small-Team Decision-Making,cs.HC,ArXiv,,http://arxiv.org/abs/2607.27179v1
