id,title,category,source,tags,source_url
arxiv_1912.08786v3,Why we need an AI-resilient society,cs.CY,ArXiv,,http://arxiv.org/abs/1912.08786v3
arxiv_1912.08786v4,Why we need an AI-resilient society- Profiling Large Language Models,cs.CY,ArXiv,,http://arxiv.org/abs/1912.08786v4
arxiv_1912.08786v5,Why we need an AI-resilient society- Profiling Large Language Models,cs.CY,ArXiv,,http://arxiv.org/abs/1912.08786v5
arxiv_2508.13187v5,"""Not in My Backyard"": LLMs Uncover Online and Offline Social Biases Against Homelessness",cs.CY,ArXiv,,http://arxiv.org/abs/2508.13187v5
arxiv_2605.15850v3,Access Timing as Scaffolding: A Reinforcement Learning Approach to GenAI in Education,cs.CY,ArXiv,,http://arxiv.org/abs/2605.15850v3
arxiv_2605.15850v3,,cs.CY,ArXiv,,http://arxiv.org/abs/2605.15850v3
arxiv_2605.16281v3,Post-Deployment Accountability in AI Governance: A Cross-Regulatory Empirical Analysis of AI Incidents,cs.CY,ArXiv,,http://arxiv.org/abs/2605.16281v3
arxiv_2605.16281v3,,cs.CY,ArXiv,,http://arxiv.org/abs/2605.16281v3
arxiv_2606.08251v3,Contemporary AI lacks the imagination to diverge or negate in science,cs.CY,ArXiv,,http://arxiv.org/abs/2606.08251v3
arxiv_2606.13581v1,"The Tone of Awareness: Topic, Sentiment, and Toxicity Maps During Mental Health Month on TikTok",cs.CY,ArXiv,,http://arxiv.org/abs/2606.13581v1
arxiv_2606.18158v1,The Measurement Gap in the Automation of EU Law: Benchmarking Doctrinal Legal Reasoning under the EU AI Act,cs.CY,ArXiv,,http://arxiv.org/abs/2606.18158v1
arxiv_2607.02201v3,The Eticas AI Risk Taxonomy: Open Infrastructure for Operationalizing AI Audits,cs.CY,ArXiv,,http://arxiv.org/abs/2607.02201v3
arxiv_2607.16130v1,A Methodology for Auditable Trustworthiness Levels in AI Lifecycle Governance,cs.CY,ArXiv,,http://arxiv.org/abs/2607.16130v1
arxiv_2607.19292v1,The safety failures we are not instrumenting: a perspective on hidden safety-critical challenges in modern AI systems,cs.CY,ArXiv,,http://arxiv.org/abs/2607.19292v1
arxiv_2607.22513v1,Opaque Epistemic Mediation: How LLM Deployment Configurations Shape the Validation of Pseudo-Science,cs.CY,ArXiv,,http://arxiv.org/abs/2607.22513v1
arxiv_2607.29624v1,"The Theoretical Foundation of Socratic Tests: Dynamic, Multimodal, Conversational Examinations",cs.CY,ArXiv,,http://arxiv.org/abs/2607.29624v1
arxiv_2608.02551v1,Who Should Be Generated? Justifying Demographic Targets in Open-Ended Generation,cs.CY,ArXiv,,http://arxiv.org/abs/2608.02551v1
arxiv_2608.05050v1,The Effect of Perceived Race and Gender on Police Language Use: Experimental Evidence from VR Simulations,cs.CY,ArXiv,,http://arxiv.org/abs/2608.05050v1
arxiv_2608.06364v1,Investigating Artificial Intelligence Digital Sovereignty in Mobile Shopping Apps: A Case Study of Nigeria,cs.CY,ArXiv,,http://arxiv.org/abs/2608.06364v1
arxiv_2608.06364v1,,cs.CY,ArXiv,,http://arxiv.org/abs/2608.06364v1
arxiv_2608.14399v1,Whose doctor does the AI recommend? An algorithm audit of reputation and demographic signals in large language model-assisted physician choice,cs.CY,ArXiv,,http://arxiv.org/abs/2608.14399v1
arxiv_2608.17997v1,Traceable Trust for action-ready artificial intelligence in bioscience,cs.CY,ArXiv,,http://arxiv.org/abs/2608.17997v1
